"pt_id"	"type"	"prep_no"	"sort_well"	"sort_plate"	"FACS_code"	"uniquely_mapped_percent"	"num_splices"	"num_GCAG_splices"	"insertion_length"	"deletion_length"	"unmapped_tooshort_percent"	"avg_mapped_read_length"	"deletion_rate"	"mismatch_rate"	"avg_input_read_length"	"num_ATAC_splices"	"num_annotated_splices"	"num_GTAG_splices"	"uniquely_mapped"	"multimapped_toomany"	"unmapped_mismatches"	"unmapped_mismatches_percent"	"total_reads"	"unmapped_other"	"insertion_rate"	"unmapped_other_percent"	"multimapped_percent"	"multimapped"	"num_noncanonical_splices"	"unmapped_tooshort"	"multimapped_toomany_percent"	"Assigned"	"Unassigned_Unmapped"	"Unassigned_MappingQuality"	"Unassigned_Chimera"	"Unassigned_FragmentLength"	"Unassigned_Duplicate"	"Unassigned_MultiMapping"	"Unassigned_Secondary"	"Unassigned_NonSplit"	"Unassigned_NoFeatures"	"Unassigned_Overlapping_Length"	"Unassigned_Ambiguity"
"7211_PRI_4_E9_P3"	"7211"	"PRI"	4	"E9"	"P3"	"CD56+ CD127-"	58.67	185111	979	1.31	1.52	12.56	244.97	0.01	0.38	250	113	180750	183338	248796	11	0	0	424095	85	0.01	0.02	28.75	121940	681	53263	0	167436	0	0	0	0	96515	212878	0	0	33277	0	6541
"7211_PRI_4_E10_P3"	"7211"	"PRI"	4	"E10"	"P3"	"CD56+ CD127-"	56.18	270952	1711	1.35	1.5	12.21	244.76	0.01	0.37	250	183	265109	267763	362844	5	0	0	645915	0	0.01	0	31.61	204169	1295	78897	0	239612	0	0	0	0	175509	338968	0	0	43349	0	12048
"7211_PRI_4_E11_P3"	"7211"	"PRI"	4	"E11"	"P3"	"CD56+ CD127-"	60.03	194213	1216	1.33	1.69	8.41	244.97	0.01	0.36	250	145	189201	191850	333180	23	0	0	555057	111	0.01	0.02	31.54	175051	1002	46692	0	208310	0	0	0	0	144172	311632	0	0	57041	0	9001
"7211_PRI_4_F1_P3"	"7211"	"PRI"	4	"F1"	"P3"	"CD56+ CD127-"	50.67	62436	273	1.31	2.05	19.61	244.79	0.02	0.45	250	53	60978	61866	96100	10	0	0	189676	0	0.01	0	29.72	56368	244	37198	0.01	61966	0	0	0	0	29214	106819	0	0	19466	0	3551
"7211_PRI_4_F2_P3"	"7211"	"PRI"	4	"F2"	"P3"	"CD56+ CD127-"	64.85	81398	402	1.42	1.55	10.9	245.69	0.01	0.4	250	40	79751	80728	113148	17	0	0	174480	17	0.01	0.01	24.24	42290	228	19008	0.01	79440	0	0	0	0	25402	82480	0	0	16206	0	3562
"7211_PRI_4_F3_P3"	"7211"	"PRI"	4	"F3"	"P3"	"CD56+ CD127-"	41.89	17060	153	1.34	1.38	8.55	242.95	0.01	0.46	250	14	16231	16715	120537	21	0	0	287716	29	0.01	0.01	49.54	142538	178	24591	0.01	60397	0	0	0	0	98313	236413	0	0	32479	0	1150
"7211_PRI_4_F4_P3"	"7211"	"PRI"	4	"F4"	"P3"	"CD56+ CD127-"	60.77	279365	1822	1.26	1.43	7.38	244.8	0.01	0.35	250	185	274102	276244	373370	41	0	0	614380	123	0.01	0.02	31.82	195491	1114	45355	0.01	243955	0	0	0	0	172993	331782	0	0	48667	0	12648
"7211_PRI_4_F5_P3"	"7211"	"PRI"	4	"F5"	"P3"	"CD56+ CD127-"	54.34	95845	803	1.28	1.53	11.56	245.15	0.01	0.34	250	43	92265	94157	224160	73	0	0	412538	165	0.01	0.04	34.05	140481	842	47659	0.02	135021	0	0	0	0	107398	237895	0	0	45037	0	4466
"7211_PRI_4_F6_P3"	"7211"	"PRI"	4	"F6"	"P3"	"CD56+ CD127-"	59.09	174878	1232	1.31	1.49	8.51	245.34	0.01	0.35	250	122	170862	172487	287689	16	0	0	486841	49	0.01	0.01	32.38	157652	1037	41435	0	189736	0	0	0	0	120303	268585	0	0	47411	0	7254
"7211_PRI_4_F7_P3"	"7211"	"PRI"	4	"F7"	"P3"	"CD56+ CD127-"	37.69	30086	175	1.25	1.4	12.83	242.84	0.01	0.33	250	0	29057	29547	190661	27	0	0	505903	51	0.01	0.01	49.47	250249	364	64915	0.01	98094	0	0	0	0	211925	386281	0	0	30650	0	2892
"7211_PRI_4_F8_P3"	"7211"	"PRI"	4	"F8"	"P3"	"CD56+ CD127-"	66.77	179367	1039	1.34	1.66	13.62	245.79	0.01	0.39	250	98	175053	177169	270280	38	0	0	404798	40	0.01	0.01	19.59	79318	1061	55122	0.01	182766	0	0	0	0	68887	153546	0	0	38020	0	7526
"7211_PRI_4_F9_P3"	"7211"	"PRI"	4	"F9"	"P3"	"CD56+ CD127-"	61.12	127239	721	1.34	1.46	16.25	245.01	0.01	0.34	250	15	123924	125823	241184	20	0	0	394619	39	0.01	0.01	22.62	89257	680	64119	0.01	156438	0	0	0	0	76219	164072	0	0	36604	0	6446
"7211_PRI_4_F10_P3"	"7211"	"PRI"	4	"F10"	"P3"	"CD56+ CD127-"	53.64	72690	876	1.3	1.72	12.7	244.35	0.02	0.35	250	73	68173	70196	450220	47	0	0	839408	252	0.01	0.03	33.63	282293	1545	106596	0.01	194387	0	0	0	0	266684	456229	0	0	149662	0	5079
"7211_PRI_4_F11_P3"	"7211"	"PRI"	4	"F11"	"P3"	"CD56- CD127+"	62.38	28957	348	1.29	1.6	22.38	244.96	0.02	0.4	250	1	27172	28074	185134	78	0	0	296774	178	0.01	0.06	15.15	44955	534	66429	0.03	92486	0	0	0	0	45152	92513	0	0	57463	0	1834
"7211_PRI_4_G1_P3"	"7211"	"PRI"	4	"G1"	"P3"	"CD56+ CD127-"	56.86	212623	1297	1.28	1.51	11.8	245.42	0.01	0.35	250	189	205980	209948	419503	40	0	0	737820	148	0.01	0.02	31.31	231012	1189	87117	0.01	253683	0	0	0	0	193680	390479	0	0	81996	0	11997
"7211_PRI_4_G2_P3"	"7211"	"PRI"	4	"G2"	"P3"	"CD56+ CD127-"	59.58	111206	668	1.34	1.74	8.14	245.43	0.01	0.4	250	121	109090	110003	147926	11	0	0	248270	50	0.01	0.02	32.26	80083	414	20200	0	105218	0	0	0	0	46176	149316	0	0	20209	0	5333
"7211_PRI_4_G3_P3"	"7211"	"PRI"	4	"G3"	"P3"	"CD56+ CD127-"	57.94	101696	620	1.35	1.82	14.81	245.41	0.01	0.38	250	72	98622	100527	189447	4	0	0	326996	33	0.01	0.01	27.25	89101	477	48411	0	119151	0	0	0	0	60699	164761	0	0	39258	0	4404
"7211_PRI_4_G4_P3"	"7211"	"PRI"	4	"G4"	"P3"	"CD56+ CD127-"	70.85	91927	567	1.31	1.44	9.29	245.95	0.01	0.39	250	26	89311	90831	172109	11	0	0	242931	24	0.01	0.01	19.85	48225	503	22562	0	115223	0	0	0	0	35843	95946	0	0	29796	0	4058
"7211_PRI_4_G5_P3"	"7211"	"PRI"	4	"G5"	"P3"	"CD56+ CD127-"	72.06	277129	2154	1.34	1.64	7.29	245.9	0.01	0.35	250	224	266974	272769	556349	74	0	0	772060	232	0.01	0.03	20.61	159105	1982	56300	0.01	343255	0	0	0	0	166363	297679	0	0	100639	0	14749
"7211_PRI_4_G6_P3"	"7211"	"PRI"	4	"G6"	"P3"	"CD56+ CD127-"	60.28	404601	2783	1.4	1.54	17.33	244.96	0.01	0.34	250	756	393571	398473	696100	51	0	0	1154868	231	0.01	0.02	22.37	258323	2589	200163	0	420963	0	0	0	0	275584	440153	0	0	118165	0	21925
"7211_PRI_4_G7_P3"	"7211"	"PRI"	4	"G7"	"P3"	"CD56+ CD127-"	58.03	476369	2974	1.33	1.57	14.04	245.13	0.01	0.35	250	464	466993	471156	614240	108	0	0	1058477	106	0.01	0.01	27.91	295400	1775	148623	0.01	418163	0	0	0	0	274868	484858	0	0	67021	0	22433
"7211_PRI_4_G8_P3"	"7211"	"PRI"	4	"G8"	"P3"	"CD56+ CD127-"	55.56	221242	1146	1.21	1.52	15.09	244.79	0.01	0.35	250	147	215120	218748	362913	15	0	0	653236	131	0.01	0.02	29.33	191618	1201	98559	0	234201	0	0	0	0	163772	325070	0	0	53236	0	12067
"7211_PRI_4_G9_P3"	"7211"	"PRI"	4	"G9"	"P3"	"CD56+ CD127-"	63.16	273978	1985	1.31	1.5	8.07	245.39	0.01	0.38	250	208	268494	270927	399381	36	0	0	632322	63	0.01	0.01	28.75	181798	858	51044	0.01	260368	0	0	0	0	152117	319312	0	0	63877	0	11142
"7211_PRI_4_G10_P3"	"7211"	"PRI"	4	"G10"	"P3"	"CD56+ CD127-"	59.77	264306	1160	1.32	1.43	11.7	245.12	0.01	0.38	250	238	257967	261349	358688	18	0	0	600140	60	0.01	0.01	28.52	171131	1559	70243	0	230926	0	0	0	0	158461	292368	0	0	45999	0	8808
"7211_PRI_4_G11_P3"	"7211"	"PRI"	4	"G11"	"P3"	"CD56+ CD127-"	58.02	46587	363	1.46	1.65	16.29	245.56	0.01	0.37	250	6	44488	45818	129440	5	0	0	223081	22	0.01	0.01	25.68	57279	400	36335	0	76882	0	0	0	0	36713	113883	0	0	31068	0	2379
"7211_PRI_4_H1_P3"	"7211"	"PRI"	4	"H1"	"P3"	"CD56+ CD127-"	60.02	182438	1361	1.3	1.57	14.07	245.49	0.01	0.38	250	188	176499	179628	384233	48	0	0	640201	64	0.01	0.01	25.89	165734	1261	90122	0.01	229534	0	0	0	0	135101	300073	0	0	86344	0	9003
"7211_PRI_4_H2_P3"	"7211"	"PRI"	4	"H2"	"P3"	"CD56+ CD127-"	62.49	178396	1032	1.35	1.6	10.74	245.55	0.01	0.38	250	55	174100	176512	287055	73	0	0	459374	92	0.01	0.02	26.73	122801	797	49353	0.02	190064	0	0	0	0	98880	224642	0	0	41655	0	7100
"7211_PRI_4_H3_P3"	"7211"	"PRI"	4	"H3"	"P3"	"CD56+ CD127-"	58.76	185840	1026	1.25	1.54	11.73	245.22	0.01	0.38	250	104	180909	183721	259768	14	0	0	442055	133	0.01	0.03	29.48	130316	989	51824	0	175491	0	0	0	0	102249	226794	0	0	31966	0	7447
"7211_PRI_4_H4_P3"	"7211"	"PRI"	4	"H4"	"P3"	"CD56+ CD127-"	56.44	150692	840	1.31	1.5	9.05	245.32	0.01	0.4	250	108	146986	148994	244980	36	0	0	434072	43	0.01	0.01	34.5	149739	750	39274	0.01	162469	0	0	0	0	104417	263294	0	0	39314	0	6752
"7211_PRI_4_H5_P3"	"7211"	"PRI"	4	"H5"	"P3"	"CD56+ CD127-"	58.13	152398	1333	1.33	1.48	7.27	245.3	0.01	0.39	250	37	146901	150005	311500	10	0	0	535853	0	0.01	0	34.6	185392	1023	38951	0	189555	0	0	0	0	145784	332250	0	0	60197	0	6180
"7211_PRI_4_H6_P3"	"7211"	"PRI"	4	"H6"	"P3"	"CD56+ CD127-"	62.75	254981	1319	1.38	1.48	10.29	245.74	0.01	0.39	250	167	247439	252560	363717	7	0	0	579613	0	0.01	0	26.95	156208	935	59681	0	248521	0	0	0	0	129439	276550	0	0	42631	0	12393
"7211_PRI_4_H7_P3"	"7211"	"PRI"	4	"H7"	"P3"	"CD56+ CD127-"	62.67	333206	2119	1.37	1.54	8.63	245.54	0.01	0.37	250	184	325155	329223	533694	64	0	0	851620	85	0.01	0.01	28.68	244241	1680	73536	0.01	331882	0	0	0	0	229562	416214	0	0	87352	0	12833
"7211_PRI_4_H8_P3"	"7211"	"PRI"	4	"H8"	"P3"	"CD56+ CD127-"	59.54	115323	479	1.28	1.65	13.92	245.5	0.01	0.45	250	68	112109	114485	159236	19	0	0	267436	27	0.01	0.01	26.51	70905	291	37249	0.01	110502	0	0	0	0	45127	135538	0	0	22357	0	4599
"7211_PRI_4_H9_P3"	"7211"	"PRI"	4	"H9"	"P3"	"CD56+ CD127-"	65.53	499527	3016	1.29	1.44	10.94	245.55	0.01	0.36	250	622	487318	493818	739845	42	0	0	1128940	0	0.01	0	23.52	265544	2071	123509	0	461227	0	0	0	0	305789	447744	0	0	95331	0	18316
"7211_PRI_4_H10_P3"	"7211"	"PRI"	4	"H10"	"P3"	"CD56+ CD127-"	57.66	192725	1060	1.33	1.5	12.5	245.35	0.01	0.46	250	106	187885	190934	251105	22	0	0	435495	44	0.01	0.01	29.83	129910	625	54414	0.01	171373	0	0	0	0	91896	238875	0	0	31978	0	10110
"7211_PRI_4_H11_P3"	"7211"	"PRI"	4	"H11"	"P3"	"CD56+ CD127-"	60.39	343355	1836	1.34	1.49	9.89	245.16	0.01	0.36	250	347	334530	339165	534877	38	0	0	885759	177	0.01	0.02	29.7	263089	2007	87578	0	342814	0	0	0	0	256142	429824	0	0	67006	0	15344
"7211_PRI_5_A1_P4"	"7211"	"PRI"	5	"A1"	"P4"	"CD56+ CD127-"	60.66	91078	503	1.37	1.52	8.72	244.64	0.01	0.49	250	72	89254	90279	107507	4	0	0	177241	0	0.01	0	30.62	54268	224	15462	0	79197	0	0	0	0	27279	106181	0	0	11554	0	4962
"7211_PRI_5_A2_P4"	"7211"	"PRI"	5	"A2"	"P4"	"CD56+ CD127-"	59.19	82266	429	1.28	1.56	11.63	245.33	0.01	0.44	250	53	80219	81592	115110	15	0	0	194476	19	0.01	0.01	29.16	56715	192	22617	0.01	84169	0	0	0	0	31856	108874	0	0	13207	0	3287
"7211_PRI_5_A3_P4"	"7211"	"PRI"	5	"A3"	"P4"	"CD56+ CD127-"	59	181497	840	1.33	2.33	13.37	245.33	0.02	0.39	250	61	176519	179650	271472	11	0	0	460140	92	0.01	0.02	27.62	127088	946	61477	0	179562	0	0	0	0	101429	249449	0	0	36521	0	7711
"7211_PRI_5_A4_P4"	"7211"	"PRI"	5	"A4"	"P4"	"CD56+ CD127+"	53.18	134511	869	1.29	1.45	10.75	245.11	0.01	0.39	250	70	131276	132934	210940	42	0	0	396652	159	0.01	0.04	36.02	142865	638	42646	0.01	135889	0	0	0	0	97907	245326	0	0	36881	0	6746
"7211_PRI_5_A5_P4"	"7211"	"PRI"	5	"A5"	"P4"	"CD56+ CD127-"	52.5	57591	477	1.4	1.62	6.97	244.98	0.02	0.4	250	50	55356	56370	161923	76	0	0	308439	216	0.01	0.07	40.44	124736	694	21488	0.02	82177	0	0	0	0	82189	213133	0	0	52358	0	4050
"7211_PRI_5_A6_P4"	"7211"	"PRI"	5	"A6"	"P4"	"CD56+ CD127-"	61.06	482527	2452	1.26	1.66	10	245.24	0.01	0.35	250	155	468135	476869	923197	587	0	0	1511961	151	0.01	0.01	28.89	436868	3051	151158	0.04	521442	0	0	0	0	512163	691735	0	0	135282	0	24885
"7211_PRI_5_A7_P4"	"7211"	"PRI"	5	"A7"	"P4"	"CD56+ CD127-"	60.2	252197	1220	1.36	1.49	7.66	245.54	0.01	0.39	250	130	246142	249912	327521	35	0	0	544027	54	0.01	0.01	32.12	174760	935	41657	0.01	229362	0	0	0	0	136251	299567	0	0	32917	0	12302
"7211_PRI_5_A8_P4"	"7211"	"PRI"	5	"A8"	"P4"	"CD56+ CD127-"	59.72	223676	1241	1.34	1.56	8.06	244.84	0.01	0.37	250	94	217076	220811	363960	12	0	0	609395	0	0.01	0	32.21	196275	1530	49148	0	228939	0	0	0	0	170975	329261	0	0	53593	0	10024
"7211_PRI_5_A9_P4"	"7211"	"PRI"	5	"A9"	"P4"	"CD56+ CD127-"	62.7	224656	1155	1.34	1.53	7.04	245.26	0.01	0.4	250	183	220857	222578	271615	9	0	0	433202	43	0.01	0.01	30.25	131052	740	30483	0	192392	0	0	0	0	95353	232386	0	0	28970	0	11279
"7211_PRI_5_A10_P4"	"7211"	"PRI"	5	"A10"	"P4"	"CD56+ CD127-"	65.56	341483	2150	1.42	1.44	8.77	244.9	0.01	0.36	250	184	333370	337280	539498	43	0	0	822922	165	0.01	0.02	25.64	211032	1869	72184	0.01	348282	0	0	0	0	217020	361757	0	0	63811	0	17091
"7211_PRI_5_A11_P4"	"7211"	"PRI"	5	"A11"	"P4"	"CD56+ CD127-"	69.05	68535	431	1.37	1.48	9.97	245.45	0.01	0.4	250	30	66487	67738	133230	11	0	0	192955	19	0.01	0.01	20.97	40458	336	19237	0.01	87991	0	0	0	0	27969	81679	0	0	23067	0	4199
"7211_PRI_5_A12_P4"	"7211"	"PRI"	5	"A12"	"P4"	"CD56+ CD127-"	66.91	416239	2613	1.32	1.74	8.67	244.98	0.01	0.4	250	281	405529	411656	509796	24	0	0	761932	0	0.01	0	24.42	186034	1689	66078	0	343756	0	0	0	0	171258	400660	0	0	51881	0	20395
"7211_PRI_5_B1_P4"	"7211"	"PRI"	5	"B1"	"P4"	"CD56+ CD127-"	62.07	149310	875	1.36	1.54	7.64	245.25	0.01	0.44	250	106	144987	147865	192789	18	0	0	310601	0	0.01	0	30.28	94054	464	23740	0.01	133175	0	0	0	0	60164	178367	0	0	26286	0	7723
"7211_PRI_5_B2_P4"	"7211"	"PRI"	5	"B2"	"P4"	"CD56+ CD127-"	57.57	134617	716	1.3	1.4	15.9	245.15	0.01	0.37	250	57	130136	132803	273847	42	0	0	475674	143	0.01	0.03	26.49	126025	1041	75617	0.01	172868	0	0	0	0	103763	225230	0	0	43532	0	7247
"7211_PRI_5_B3_P4"	"7211"	"PRI"	5	"B3"	"P4"	"CD56+ CD127-"	57.9	115386	544	1.33	1.51	10.7	245.07	0.01	0.41	250	50	112802	114182	184910	11	0	0	319345	32	0.01	0.01	31.38	100226	610	34166	0	121054	0	0	0	0	71049	180328	0	0	27366	0	5792
"7211_PRI_5_B4_P4"	"7211"	"PRI"	5	"B4"	"P4"	"CD56+ CD127-"	64.36	99134	655	1.31	1.44	11.97	245.37	0.01	0.43	250	109	95324	97903	159693	7	0	0	248123	25	0.01	0.01	23.66	58709	467	29689	0	107578	0	0	0	0	38307	114736	0	0	26174	0	4524
"7211_PRI_5_B5_P4"	"7211"	"PRI"	5	"B5"	"P4"	"CD56+ CD127-"	53.16	90328	486	1.29	1.78	20.7	245.55	0.01	0.39	250	44	87476	89017	156949	7	0	0	295256	30	0.01	0.01	26.13	77160	781	61110	0	103289	0	0	0	0	49893	150517	0	0	25898	0	5535
"7211_PRI_5_B6_P4"	"7211"	"PRI"	5	"B6"	"P4"	"CD56- CD127+"	54.44	176334	1466	1.27	1.59	20.06	245.82	0.01	0.34	250	49	169416	173243	445824	144	0	0	818978	737	0.01	0.09	25.39	207936	1576	164337	0.02	258887	0	0	0	0	205763	347054	0	0	82638	0	8737
"7211_PRI_5_B7_P4"	"7211"	"PRI"	5	"B7"	"P4"	"CD56+ CD127-"	63.75	167697	840	1.27	1.58	12.42	245.69	0.01	0.37	250	122	162995	165978	280401	19	0	0	439847	0	0.01	0	23.82	104782	757	54645	0	186540	0	0	0	0	82464	193857	0	0	43721	0	8359
"7211_PRI_5_B8_P4"	"7211"	"PRI"	5	"B8"	"P4"	"CD56+ CD127-"	58.81	172206	1045	1.29	1.7	6.34	245.27	0.01	0.4	250	191	168573	170045	215595	6	0	0	366568	37	0.01	0.01	34.83	127681	925	23249	0	151812	0	0	0	0	83886	232373	0	0	26552	0	7527
"7211_PRI_5_B9_P4"	"7211"	"PRI"	5	"B9"	"P4"	"CD56+ CD127-"	58.31	9760	174	1.34	1.8	29.27	239.69	0.01	2.95	250	7	5584	9407	177721	359	0	0	304776	3262	0.01	1.07	11.22	34203	172	89231	0.12	13964	0	0	0	0	15744	89536	0	0	151077	0	433
"7211_PRI_5_B10_P4"	"7211"	"PRI"	5	"B10"	"P4"	"CD56+ CD127-"	63.53	154805	740	1.4	1.53	7.61	245.39	0.01	0.38	250	64	150530	153241	259349	6	0	0	408242	41	0.01	0.01	28.85	117794	760	31052	0	168567	0	0	0	0	101110	210163	0	0	32790	0	7224
"7211_PRI_5_B11_P4"	"7211"	"PRI"	5	"B11"	"P4"	"CD56- CD127+"	71.12	52315	430	1.37	1.61	10.16	245.37	0.01	0.34	250	57	50508	51149	213748	34	0	0	300532	30	0.01	0.01	18.69	56171	679	30549	0.01	118591	0	0	0	0	59209	103852	0	0	50410	0	3507
"7211_PRI_5_B12_P4"	"7211"	"PRI"	5	"B12"	"P4"	"CD56+ CD127-"	65.42	265187	1473	1.45	1.66	7.18	245.53	0.01	0.35	250	168	258818	262204	461926	39	0	0	706078	71	0.01	0.01	27.38	193310	1342	50732	0.01	299785	0	0	0	0	194017	335674	0	0	48774	0	12805
"7211_PRI_5_C1_P4"	"7211"	"PRI"	5	"C1"	"P4"	"CD56+ CD127-"	50.98	79137	704	1.37	1.62	29.8	245.23	0.01	0.35	250	53	75161	77211	216605	19	0	0	424858	42	0.01	0.01	19.2	81575	1169	126617	0	128414	0	0	0	0	65597	152169	0	0	46802	0	4691
"7211_PRI_5_C2_P4"	"7211"	"PRI"	5	"C2"	"P4"	"CD56+ CD127-"	54.16	71708	531	1.35	1.63	17.84	244.96	0.01	0.56	250	39	68132	70930	102871	7	0	0	189950	19	0.01	0.01	28	53181	208	33872	0	68264	0	0	0	0	26426	108428	0	0	18477	0	4433
"7211_PRI_5_C3_P4"	"7211"	"PRI"	5	"C3"	"P4"	"CD56+ CD127-"	57.92	59155	338	1.22	1.6	12.92	245.3	0.01	0.4	250	46	56547	58422	137719	7	0	0	237758	0	0.01	0	29.15	69316	349	30716	0	88506	0	0	0	0	43572	131760	0	0	25822	0	2929
"7211_PRI_5_C4_P4"	"7211"	"PRI"	5	"C4"	"P4"	"CD56+ CD127-"	38.85	49871	217	1.28	1.51	33.37	244.91	0.01	0.4	250	15	47933	49307	109667	8	0	0	282287	28	0.01	0.01	27.77	78381	332	94203	0	69164	0	0	0	0	45159	142364	0	0	22002	0	2436
"7211_PRI_5_C5_P4"	"7211"	"PRI"	5	"C5"	"P4"	"CD56+ CD127-"	52.11	89928	548	1.29	1.5	24.58	245.41	0.01	0.39	250	38	87332	88820	172857	15	0	0	331685	33	0.01	0.01	23.29	77245	522	81535	0	114449	0	0	0	0	50014	149733	0	0	29579	0	4376
"7211_PRI_5_C6_P4"	"7211"	"PRI"	5	"C6"	"P4"	"CD56+ CD127-"	59.24	318131	1952	1.34	1.46	15.53	245.38	0.01	0.39	250	138	310587	314293	495070	66	0	0	835652	84	0.01	0.01	25.21	210631	1748	129801	0.01	313566	0	0	0	0	199818	357823	0	0	73417	0	14870
"7211_PRI_5_C7_P4"	"7211"	"PRI"	5	"C7"	"P4"	"CD56- CD127+"	73.59	438	35	1.23	1.35	22	245.34	0.01	0.27	250	0	308	319	183284	0	0	0	249075	0	0.01	0	4.41	10988	84	54803	0	111654	0	0	0	0	71792	21351	0	0	1452	0	396
"7211_PRI_5_C8_P4"	"7211"	"PRI"	5	"C8"	"P4"	"CD56+ CD127-"	63.13	96322	676	1.24	1.52	7.75	245.46	0.01	0.37	250	177	93211	94662	238154	42	0	0	377261	75	0.01	0.02	29.1	109776	807	29214	0.01	148542	0	0	0	0	81074	200719	0	0	47201	0	5253
"7211_PRI_5_C9_P4"	"7211"	"PRI"	5	"C9"	"P4"	"CD56+ CD127-"	57.6	107942	694	1.36	1.47	7.36	245.21	0.01	0.45	250	52	105539	106768	134579	15	0	0	233657	23	0.01	0.01	35.02	81826	428	17214	0.01	96318	0	0	0	0	45305	150320	0	0	16962	0	5060
"7211_PRI_5_C10_P4"	"7211"	"PRI"	5	"C10"	"P4"	"CD56+ CD127-"	59.57	105568	647	1.3	1.55	7.23	245.39	0.01	0.38	250	42	102186	104245	186872	23	0	0	313699	31	0.01	0.01	33.17	104062	634	22711	0.01	123101	0	0	0	0	69389	190778	0	0	30118	0	5106
"7211_PRI_5_C11_P4"	"7211"	"PRI"	5	"C11"	"P4"	"CD56+ CD127-"	65.32	283355	1715	1.34	1.47	6.51	245.75	0.01	0.35	250	205	278065	280161	404992	10	0	0	619984	62	0.01	0.01	28.15	174538	1274	40382	0	276056	0	0	0	0	153149	301738	0	0	44434	0	13065
"7211_PRI_5_C12_P4"	"7211"	"PRI"	5	"C12"	"P4"	"CD56+ CD127-"	50.58	55855	532	1.3	1.44	9.31	243.32	0.01	0.37	250	58	53238	54434	441858	63	0	0	873666	349	0.01	0.04	40.07	350077	831	81319	0.01	191628	0	0	0	0	359161	538545	0	0	107949	0	4826
"7211_PRI_5_D1_P4"	"7211"	"PRI"	5	"D1"	"P4"	"CD56+ CD127-"	62.32	80889	510	1.38	1.56	17.12	245.6	0.01	0.35	250	95	77956	79672	222933	5	0	0	357717	36	0.01	0.01	20.54	73492	612	61251	0	131198	0	0	0	0	62600	137146	0	0	49687	0	5043
"7211_PRI_5_D2_P4"	"7211"	"PRI"	5	"D2"	"P4"	"CD56+ CD127-"	62.29	118023	635	1.3	1.62	9.8	245.41	0.01	0.39	250	22	114915	116600	217434	8	0	0	349053	0	0.01	0	27.91	97405	766	34206	0	140182	0	0	0	0	71115	179344	0	0	38491	0	5218
"7211_PRI_5_D3_P4"	"7211"	"PRI"	5	"D3"	"P4"	"CD56+ CD127-"	54.12	123957	781	1.26	1.54	20.95	245.33	0.01	0.38	250	40	120841	122594	197313	18	0	0	364588	36	0.01	0.01	24.91	90836	542	76385	0	130891	0	0	0	0	63826	176730	0	0	29242	0	7104
"7211_PRI_5_D4_P4"	"7211"	"PRI"	5	"D4"	"P4"	"CD56+ CD127-"	49.21	229366	1644	1.35	1.52	30.09	245.15	0.01	0.34	250	96	221656	225939	545387	77	0	0	1108210	222	0.01	0.02	20.67	229069	1687	333455	0.01	308211	0	0	0	0	225628	381221	0	0	119944	0	13776
"7211_PRI_5_D5_P4"	"7211"	"PRI"	5	"D5"	"P4"	"CD56+ CD127-"	60.86	249007	1438	1.37	1.64	14.24	245.44	0.01	0.37	250	253	243586	246338	396472	58	0	0	651485	195	0.01	0.03	24.87	162005	978	92755	0.01	246029	0	0	0	0	138975	291049	0	0	73309	0	11108
"7211_PRI_5_D6_P4"	"7211"	"PRI"	5	"D6"	"P4"	"CD56+ CD127-"	56.92	57825	370	1.32	1.67	13.76	244.93	0.01	0.36	250	37	56160	56979	142080	25	0	0	249629	75	0.01	0.03	29.28	73081	439	34368	0.01	86005	0	0	0	0	48926	135523	0	0	29975	0	3493
"7211_PRI_5_D7_P4"	"7211"	"PRI"	5	"D7"	"P4"	"CD56+ CD127-"	48.84	190107	1189	1.27	1.51	27.28	245.27	0.01	0.36	250	176	185862	187811	277044	23	0	0	567248	113	0.01	0.02	23.86	135333	931	154735	0	189668	0	0	0	0	103836	237999	0	0	33974	0	9342
"7211_PRI_5_D8_P4"	"7211"	"PRI"	5	"D8"	"P4"	"CD56+ CD127-"	54.8	172529	1182	1.28	1.55	16.51	245.55	0.01	0.39	250	204	168715	170487	245050	19	0	0	447131	89	0.01	0.02	28.65	128119	656	73854	0	169471	0	0	0	0	89038	225917	0	0	32162	0	8917
"7211_PRI_5_D9_P4"	"7211"	"PRI"	5	"D9"	"P4"	"CD56+ CD127-"	60.96	172731	912	1.34	1.56	11.05	244.97	0.01	0.38	250	106	168887	170778	261721	22	0	0	429329	86	0.01	0.02	27.97	120066	935	47434	0.01	172761	0	0	0	0	92655	223903	0	0	36927	0	7941
"7211_PRI_5_D10_P4"	"7211"	"PRI"	5	"D10"	"P4"	"CD56+ CD127-"	60.1	238974	1149	1.42	1.62	8.07	244.38	0.01	0.36	250	298	234384	236310	386425	39	0	0	642950	129	0.01	0.02	31.8	204448	1217	51909	0.01	234157	0	0	0	0	182560	340379	0	0	67201	0	9861
"7211_PRI_5_D11_P4"	"7211"	"PRI"	5	"D11"	"P4"	"CD56+ CD127-"	63.62	47575	382	1.26	1.58	18.46	241.5	0.01	0.96	250	29	45334	46841	211088	173	0	0	331811	995	0.01	0.3	17.57	58312	323	61243	0.05	75335	0	0	0	0	46614	123838	0	0	103071	0	2870
