"pt_id"	"type"	"prep_no"	"sort_well"	"sort_plate"	"FACS_code"	"uniquely_mapped_percent"	"num_splices"	"num_GCAG_splices"	"insertion_length"	"deletion_length"	"unmapped_tooshort_percent"	"avg_mapped_read_length"	"deletion_rate"	"mismatch_rate"	"avg_input_read_length"	"num_ATAC_splices"	"num_annotated_splices"	"num_GTAG_splices"	"uniquely_mapped"	"multimapped_toomany"	"unmapped_mismatches"	"unmapped_mismatches_percent"	"total_reads"	"unmapped_other"	"insertion_rate"	"unmapped_other_percent"	"multimapped_percent"	"multimapped"	"num_noncanonical_splices"	"unmapped_tooshort"	"multimapped_toomany_percent"	"Assigned"	"Unassigned_Unmapped"	"Unassigned_MappingQuality"	"Unassigned_Chimera"	"Unassigned_FragmentLength"	"Unassigned_Duplicate"	"Unassigned_MultiMapping"	"Unassigned_Secondary"	"Unassigned_NonSplit"	"Unassigned_NoFeatures"	"Unassigned_Overlapping_Length"	"Unassigned_Ambiguity"
"7202_PRI_34_E7_P2"	"7202"	"PRI"	34	"E7"	"P2"	"CD56+ CD127-"	63.47	212723	1740	1.34	1.59	17.97	295.53	0.01	0.51	301	219	206537	210037	305195	24	0	0	480859	96	0.01	0.02	18.53	89094	727	86450	0	210585	0	0	0	0	71848	178040	0	0	48153	0	8578
"7202_PRI_34_E8_P2"	"7202"	"PRI"	34	"E8"	"P2"	"CD56+ CD127-"	59.47	174193	1309	1.38	1.6	18.4	295.2	0.01	0.49	301	91	168582	171524	318045	142	0	0	534833	481	0.01	0.09	22.02	117792	1269	98373	0.03	196122	0	0	0	0	97876	204366	0	0	68745	0	8860
"7202_PRI_34_E9_P2"	"7202"	"PRI"	34	"E9"	"P2"	"CD56+ CD127-"	61.68	130430	771	1.35	1.64	19.25	294.76	0.01	0.48	301	119	127350	128914	244872	26	0	0	397000	79	0.01	0.02	19.03	75562	626	76461	0.01	159937	0	0	0	0	66772	140724	0	0	40838	0	6054
"7202_PRI_34_E10_P2"	"7202"	"PRI"	34	"E10"	"P2"	"CD56+ CD127-"	59.67	68640	359	1.38	1.62	19.15	294.58	0.01	0.48	301	101	66984	67930	139437	7	0	0	233685	70	0.01	0.03	21.15	49421	250	44750	0	92001	0	0	0	0	37711	94939	0	0	22938	0	3008
"7202_PRI_34_E11_P2"	"7202"	"PRI"	34	"E11"	"P2"	"CD56+ CD127-"	62.52	165157	995	1.36	1.56	16.85	294.56	0.01	0.5	301	76	158569	163003	311272	23	0	0	497855	100	0.01	0.02	20.6	102555	1083	83905	0	192037	0	0	0	0	101622	191284	0	0	52806	0	7957
"7202_PRI_34_E12_P2"	"7202"	"PRI"	34	"E12"	"P2"	"CD56+ CD127-"	67.14	88415	520	1.42	1.66	17.47	294.17	0.02	0.63	301	64	84800	87328	278372	108	0	0	414615	1078	0.01	0.26	15.11	62650	503	72407	0.03	123678	0	0	0	0	60507	119799	0	0	109317	0	5561
"7202_PRI_34_F1_P2"	"7202"	"PRI"	34	"F1"	"P2"	"CD56+ CD127-"	58.24	71919	385	1.33	1.57	26.17	295.49	0.01	0.48	301	60	69694	71041	138042	35	0	0	237019	118	0.01	0.05	15.53	36808	433	62016	0.01	90860	0	0	0	0	25587	72006	0	0	28541	0	3034
"7202_PRI_34_F2_P2"	"7202"	"PRI"	34	"F2"	"P2"	"CD56+ CD127-"	54.49	75425	424	1.54	1.71	24.82	295.14	0.01	0.53	301	47	72762	74479	129481	9	0	0	237619	24	0.01	0.01	20.67	49124	475	58981	0	86260	0	0	0	0	29677	92346	0	0	26002	0	3899
"7202_PRI_34_F3_P2"	"7202"	"PRI"	34	"F3"	"P2"	"CD56+ CD127-"	52.17	1080	27	1.3	1.89	29.42	294.08	0.02	0.66	301	0	720	951	107917	64	0	0	206867	683	0.02	0.33	18.05	37340	102	60863	0.03	28008	0	0	0	0	22826	71909	0	0	67683	0	216
"7202_PRI_34_F5_P2"	"7202"	"PRI"	34	"F5"	"P2"	"CD56+ CD127-"	60.43	192592	1414	1.32	1.7	17.53	295.41	0.01	0.54	301	187	188564	190407	257210	11	0	0	425609	85	0.01	0.02	22.01	93695	584	74608	0	182408	0	0	0	0	64008	168232	0	0	39661	0	9409
"7202_PRI_34_F6_P2"	"7202"	"PRI"	34	"F6"	"P2"	"CD56+ CD127-"	60.68	82559	455	1.36	1.58	17.87	295.32	0.01	0.56	301	93	80119	81673	124225	9	0	0	204726	82	0.01	0.04	21.41	43840	338	36570	0	87476	0	0	0	0	23566	86661	0	0	20938	0	4813
"7202_PRI_34_F7_P2"	"7202"	"PRI"	34	"F7"	"P2"	"CD56+ CD127-"	56.75	78467	709	1.31	1.42	22.68	295.26	0.01	0.51	301	52	76309	77381	149226	41	0	0	262961	131	0.01	0.05	20.51	53927	325	59636	0.02	100207	0	0	0	0	35103	99555	0	0	28151	0	3720
"7202_PRI_34_F9_P2"	"7202"	"PRI"	34	"F9"	"P2"	"CD56+ CD127-"	53.45	44406	196	1.34	1.6	25.16	295.09	0.01	0.53	301	55	42585	43834	101920	9	0	0	190700	38	0.01	0.02	21.36	40736	321	47997	0	67012	0	0	0	0	23420	77861	0	0	21754	0	2123
"7202_PRI_34_F10_P2"	"7202"	"PRI"	34	"F10"	"P2"	"CD56+ CD127-"	36.15	590	5	1.27	1.65	42.23	293.47	0.01	0.47	301	12	529	556	49710	30	0	0	137502	137	0.01	0.1	21.5	29561	17	58064	0.02	27568	0	0	0	0	21834	50218	0	0	11481	0	110
"7202_PRI_34_F11_P2"	"7202"	"PRI"	34	"F11"	"P2"	"CD56+ CD127-"	46.94	8267	56	1.41	1.43	39.73	294.85	0.01	0.45	301	16	8068	8149	54381	0	0	0	115845	12	0.01	0.01	13.31	15416	46	46036	0	36118	0	0	0	0	10171	29986	0	0	10304	0	828
"7202_PRI_34_F12_P2"	"7202"	"PRI"	34	"F12"	"P2"	"CD56+ CD127-"	57.1	2118	45	1.31	1.76	25.73	293.71	0.02	0.81	301	5	1621	1921	101929	44	0	0	178524	696	0.02	0.39	16.77	29934	147	45921	0.02	24131	0	0	0	0	15608	61770	0	0	68742	0	188
"7202_PRI_34_G1_P2"	"7202"	"PRI"	34	"G1"	"P2"	"CD56+ CD127-"	50.18	1571	29	1.35	1.83	20.28	293.7	0.02	0.74	301	2	1033	1460	129656	123	0	0	258371	853	0.02	0.33	29.16	75338	80	52401	0.05	26072	0	0	0	0	45004	133900	0	0	88866	0	135
"7202_PRI_34_G2_P2"	"7202"	"PRI"	34	"G2"	"P2"	"CD56+ CD127-"	46.66	10928	115	1.36	1.59	28.82	294.05	0.01	0.49	301	0	10325	10650	74668	10	0	0	160038	96	0.01	0.06	24.46	39147	163	46117	0.01	36813	0	0	0	0	22030	71622	0	0	27711	0	706
"7202_PRI_34_G3_P2"	"7202"	"PRI"	34	"G3"	"P2"	"CD56+ CD127-"	57.69	56519	409	1.39	1.64	23.71	295.69	0.01	0.53	301	62	55088	55864	90411	7	0	0	156731	31	0.01	0.02	18.58	29115	184	37167	0	64937	0	0	0	0	14565	59128	0	0	15402	0	2446
"7202_PRI_34_G5_P2"	"7202"	"PRI"	34	"G5"	"P2"	"CD56+ CD127-"	69.68	40735	320	1.24	1.47	18.65	294.9	0.01	0.57	301	24	39574	40231	129165	11	0	0	185357	74	0.01	0.04	11.62	21536	160	34571	0.01	91702	0	0	0	0	25670	43155	0	0	12145	0	4094
"7202_PRI_34_G8_P2"	"7202"	"PRI"	34	"G8"	"P2"	"CD56+ CD127-"	46.65	88178	571	1.32	1.5	15.28	293.91	0.02	0.54	301	18	84944	87032	183299	25	0	0	392899	118	0.01	0.03	38.03	149410	557	60047	0.01	110808	0	0	0	0	107466	242568	0	0	40712	0	3833
"7202_PRI_34_G9_P2"	"7202"	"PRI"	34	"G9"	"P2"	"CD56+ CD127-"	58.07	100887	590	1.27	1.6	17.13	295.33	0.01	0.52	301	93	97687	99799	135300	17	0	0	232984	23	0.01	0.01	24.77	57715	405	39929	0.01	95383	0	0	0	0	33474	105434	0	0	22306	0	4512
"7202_PRI_34_G10_P2"	"7202"	"PRI"	34	"G10"	"P2"	"CD56+ CD127-"	48.96	95106	780	1.26	1.44	16.3	294.59	0.01	0.51	301	32	92357	93942	161075	122	0	0	329018	132	0.01	0.04	34.67	114066	352	53623	0.04	106697	0	0	0	0	77075	192872	0	0	27932	0	4701
"7202_PRI_34_G11_P2"	"7202"	"PRI"	34	"G11"	"P2"	"CD56+ CD127-"	56.47	82203	582	1.41	1.57	22.61	295.24	0.01	0.57	301	55	79558	81281	115206	35	0	0	203996	102	0.01	0.05	20.85	42541	285	46112	0.02	81087	0	0	0	0	23476	82112	0	0	19112	0	3654
"7202_PRI_34_G12_P2"	"7202"	"PRI"	34	"G12"	"P2"	"CD56+ CD127-"	55.69	52928	458	1.32	1.52	23.16	295.18	0.01	0.5	301	64	51330	52193	102630	3	0	0	184286	37	0.01	0.02	21.12	38930	213	42686	0	69049	0	0	0	0	22338	73058	0	0	20459	0	2362
"7202_PRI_34_H1_P2"	"7202"	"PRI"	34	"H1"	"P2"	"CD56+ CD127-"	57.11	52450	484	1.3	1.62	24	295.39	0.01	0.63	301	38	50993	51776	87743	1	0	0	153638	15	0.01	0.01	18.88	29005	152	36874	0	61375	0	0	0	0	14182	58005	0	0	16683	0	2604
"7202_PRI_34_H2_P2"	"7202"	"PRI"	34	"H2"	"P2"	"CD56+ CD127-"	48.11	27654	172	1.3	1.56	35.49	295.24	0.01	0.52	301	39	26759	27366	59581	3	0	0	123851	12	0.01	0.01	16.39	20293	77	43962	0	40275	0	0	0	0	9754	40280	0	0	12100	0	1629
"7202_PRI_34_H5_P2"	"7202"	"PRI"	34	"H5"	"P2"	"CD56+ CD127-"	63.18	62210	462	1.29	1.37	19.89	295.77	0.01	0.55	301	52	60263	61550	84688	6	0	0	134032	54	0.01	0.04	16.88	22623	146	26661	0	61968	0	0	0	0	9851	47153	0	0	14530	0	2392
"7202_PRI_34_H6_P2"	"7202"	"PRI"	34	"H6"	"P2"	"CD56+ CD127-"	60.78	279308	1613	1.32	1.55	13.93	295.32	0.01	0.57	301	294	273713	276643	309788	29	0	0	509694	153	0.01	0.03	25.25	128718	758	71006	0.01	225024	0	0	0	0	92455	228139	0	0	38782	0	12603
"7202_MET_35_A1_P1"	"7202"	"MET"	35	"A1"	"P1"	"CD56+ CD127-"	80.45	919278	5555	1.25	1.52	14.51	294.92	0.01	0.44	301	1217	898615	910395	1714286	319	0	0	2130764	3196	0.01	0.15	4.87	103771	2111	309192	0.01	813410	0	0	0	0	680330	204898	0	0	211900	0	46318
"7202_MET_35_A2_P1"	"7202"	"MET"	35	"A2"	"P1"	"CD56+ CD127-"	79.97	723732	3997	1.34	1.51	14.22	295.17	0.01	0.45	301	612	708861	717270	1583570	43	0	0	1980264	990	0.01	0.05	5.76	114099	1853	281562	0	770007	0	0	0	0	653717	223410	0	0	171990	0	28316
